symbol,settlement,last,change,open,high,low,previous_close,turnover,volume,operations,datetime
IRC1D,24hs,,,,,,87.603,,,,
IRC1D,48hs,105.0,,105.0,105.0,105.0,105.0,840.0,800.0,1.0,2021-08-31 13:48:30
IRC1O,spot,,,,,,17455.406,,,,
IRC1O,24hs,,,,,,13310.943,,,,
IRC1O,48hs,,,,,,17500.0,,,,
IRC5O,spot,,,,,,5997.153,,,,
IRC5O,24hs,,,,,,6890.15,,,,
IRC5O,48hs,,,,,,9579.389,,,,
IRC7O,spot,,,,,,9775.0,,,,
IRC7O,24hs,,,,,,8164.388,,,,
IRC7O,48hs,9880.0,0.25,9880.0,9880.0,9880.0,9855.0,99.0,1.0,1.0,2021-08-31 15:16:10
IRC8D,spot,,,,,,102.479,,,,
IRC8D,24hs,,,,,,96.791,,,,
IRC8D,48hs,107.5,0.93,106.0,107.5,106.0,106.5,8219.0,7710.0,9.0,2021-08-31 15:00:24
IRC8O,spot,,,,,,18000.0,,,,
IRC8O,24hs,,,,,,13826.396,,,,
IRC8O,48hs,18400.0,0.49,18460.0,18460.0,18330.0,18310.0,612421.0,3334.0,12.0,2021-08-31 16:18:05
IRC9D,spot,,,,,,107.0,,,,
IRC9D,24hs,,,,,,104.65,,,,
IRC9D,48hs,105.75,-0.14,105.9,106.5,105.75,105.9,27670.0,26093.0,23.0,2021-08-31 16:03:14
IRC9O,spot,18100.0,-0.44,18090.0,18100.0,18090.0,18180.0,119096.0,658.0,4.0,2021-08-31 15:32:50
IRC9O,24hs,,,,,,,,,,
IRC9O,48hs,18100.0,0.05,18090.0,18100.0,17902.0,18090.0,1701976.0,9417.0,49.0,2021-08-31 16:00:43
IRCEC,spot,,,,,,,,,,
IRCEC,24hs,,,,,,,,,,
IRCEC,48hs,,,,,,,,,,
IRCED,spot,,,,,,,,,,
IRCED,24hs,,,,,,,,,,
IRCED,48hs,,,,,,,,,,
IRCEO,spot,,,,,,9731.5,,,,
IRCEO,24hs,,,,,,,,,,
IRCEO,48hs,,,,,,,,,,
JHCGD,spot,,,,,,98.93,,,,
JHCGD,24hs,,,,,,96.88,,,,
JHCGD,48hs,100.5,,100.5,100.5,100.5,100.5,62310.0,62000.0,1.0,2021-08-31 15:19:06
LMS1C,spot,,,,,,100.0,,,,
LMS1C,24hs,,,,,,93.5,,,,
LMS1C,48hs,,,,,,96.15,,,,
LMS1D,spot,,,,,,101.6,,,,
LMS1D,24hs,,,,,,101.0,,,,
LMS1D,48hs,,,,,,100.0,,,,
LMS1O,spot,,,,,,16800.0,,,,
LMS1O,24hs,,,,,,17600.0,,,,
LMS1O,48hs,16500.0,-4.06,16500.0,16500.0,16500.0,17200.0,8250000.0,50000.0,6.0,2021-08-31 15:46:50
MRC4O,spot,,,,,,13060.0,,,,
MRC4O,24hs,,,,,,13288.862,,,,
MRC4O,48hs,,,,,,12339.097,,,,
MSS8O,spot,,,,,,8668.0,,,,
MSS8O,48hs,,,,,,8700.0,,,,
MSS9C,spot,,,,,,,,,,
MSS9C,24hs,,,,,,,,,,
MSS9C,48hs,,,,,,,,,,
MSS9D,spot,,,,,,,,,,
MSS9D,24hs,,,,,,,,,,
MSS9D,48hs,,,,,,,,,,
MSS9O,spot,,,,,,,,,,
MSS9O,24hs,,,,,,,,,,
MSS9O,48hs,,,,,,,,,,
MTCGD,spot,,,,,,105.0,,,,
MTCGD,24hs,,,,,,,,,,
MTCGD,48hs,105.0,-0.94,107.5,107.5,104.5,106.0,7636.0,7202.0,16.0,2021-08-31 16:12:38
MTCGO,spot,,,,,,,,,,
MTCGO,24hs,,,,,,,,,,
MTCGO,48hs,18200.0,,18200.0,18310.0,18200.0,18200.0,58514.0,321.0,5.0,2021-08-31 15:50:39
MTCHO,spot,,,,,,9549.5,,,,
MTCHO,24hs,,,,,,,,,,
MTCHO,48hs,,,,,,11000.0,,,,
MTCIO,spot,,,,,,,,,,
MTCIO,24hs,,,,,,,,,,
MTCIO,48hs,,,,,,8125.0,,,,
MXC1O,spot,,,,,,,,,,
MXC1O,24hs,,,,,,,,,,
MXC1O,48hs,,,,,,80.0,,,,
NLC9C,spot,,,,,,,,,,
NLC9C,24hs,,,,,,,,,,
NLC9C,48hs,,,,,,,,,,
NLC9D,spot,,,,,,,,,,
NLC9D,24hs,,,,,,,,,,
NLC9D,48hs,,,,,,,,,,
NLC9O,spot,,,,,,,,,,
NLC9O,24hs,,,,,,,,,,
NLC9O,48hs,,,,,,,,,,
PDNY9,spot,,,,,,91.0,,,,
PDNY9,24hs,,,,,,67.775,,,,
PDNY9,48hs,,,,,,86.0,,,,
PN4CO,spot,,,,,,9770.0,,,,
PN4CO,24hs,,,,,,8290.0,,,,
