symbol,settlement,last,change,open,high,low,previous_close,turnover,volume,operations,datetime
GD38D,spot,,,,,,43.0,,,,
GD38D,24hs,,,,,,41.75,,,,
GD38D,48hs,43.5,0.57,43.25,43.5,43.25,43.25,4119.0,9513.0,14.0,2021-09-02 16:46:02
GD41,spot,7100.0,0.78,7075.0,7100.0,7071.0,7045.0,203764.0,2879.0,6.0,2021-09-02 12:44:56
GD41,24hs,,,,,,6735.0,,,,
GD41,48hs,7170.0,1.27,7045.0,7200.0,7045.0,7080.0,28510006.0,397766.0,57.0,2021-09-02 16:40:11
GD41C,spot,,,,,,38.0,,,,
GD41C,24hs,,,,,,37.36,,,,
GD41C,48hs,,,,,,39.0,,,,
GD41D,spot,41.0,,41.0,41.0,41.0,41.0,4920.0,12000.0,1.0,2021-09-02 12:16:58
GD41D,24hs,,,,,,39.68,,,,
GD41D,48hs,41.5,1.21,40.5,41.5,40.5,41.0,16338.0,39894.0,20.0,2021-09-02 16:30:59
GD46,spot,,,,,,6220.0,,,,
GD46,24hs,,,,,,,,,,
GD46,48hs,,,,,,6220.0,,,,
GD46D,spot,36.5,-0.13,36.15,36.5,36.15,36.55,3659.0,10056.0,4.0,2021-09-02 16:00:04
GD46D,24hs,,,,,,36.5,,,,
GD46D,48hs,36.5,,36.5,36.5,36.2,36.5,8520.0,23370.0,6.0,2021-09-02 16:42:31
LB3O1,48hs,,,,,,,,,,
LBD1C,48hs,,,,,,,,,,
LBD1D,48hs,,,,,,,,,,
LBD21,48hs,,,,,,,,,,
M248A,48hs,,,,,,,,,,
M248B,48hs,,,,,,,,,,
MY32C,spot,,,,,,84.246,,,,
MY32C,24hs,,,,,,46.866,,,,
MY32C,48hs,,,,,,,,,,
NDT25,spot,,,,,,8497.396,,,,
NDT25,48hs,,,,,,11000.0,,,,
NDT5D,24hs,,,,,,64.25,,,,
NDT5D,48hs,,,,,,66.5,,,,
NM05A,48hs,,,,,,99.71,,,,
PAP0,spot,,,,,,998.0,,,,
PAP0,24hs,,,,,,,,,,
PAP0,48hs,1000.0,-0.69,1000.0,1000.0,1000.0,1007.0,100000.0,10000.0,1.0,2021-09-02 15:30:01
PARP,spot,1015.0,-0.92,1019.0,1019.0,1015.0,1024.5,3011.0,296.0,3.0,2021-09-02 15:51:54
PARP,24hs,,,,,,845.0,,,,
