symbol,settlement,last,change,open,high,low,previous_close,turnover,volume,operations,datetime
MTCGO,48hs,18500.0,1.64,18320.0,18500.0,18200.0,18200.0,290961.0,1582.0,13.0,2021-09-01 16:44:17
MTCHO,spot,,,,,,9549.5,,,,
MTCHO,24hs,,,,,,,,,,
MTCHO,48hs,,,,,,11000.0,,,,
MTCIO,spot,,,,,,,,,,
MTCIO,24hs,,,,,,,,,,
MTCIO,48hs,,,,,,8125.0,,,,
MXC1O,spot,,,,,,,,,,
MXC1O,24hs,,,,,,,,,,
MXC1O,48hs,,,,,,80.0,,,,
NLC9C,spot,,,,,,,,,,
NLC9C,24hs,,,,,,,,,,
NLC9C,48hs,,,,,,,,,,
NLC9D,spot,,,,,,,,,,
NLC9D,24hs,,,,,,,,,,
NLC9D,48hs,,,,,,,,,,
NLC9O,spot,,,,,,,,,,
NLC9O,24hs,,,,,,,,,,
NLC9O,48hs,,,,,,,,,,
PDNY9,spot,,,,,,91.0,,,,
PDNY9,24hs,,,,,,67.775,,,,
PDNY9,48hs,,,,,,86.0,,,,
PN1CO,spot,,,,,,8400.0,,,,
PN1CO,24hs,,,,,,9025.0,,,,
PN1CO,48hs,,,,,,9400.0,,,,
PN4CO,spot,,,,,,9770.0,,,,
PN4CO,24hs,,,,,,8290.0,,,,
PN4CO,48hs,,,,,,9534.5,,,,
PNCEO,spot,,,,,,7178.5,,,,
PNCEO,24hs,,,,,,7337.0,,,,
PNCEO,48hs,,,,,,9200.0,,,,
PNDCD,spot,,,,,,119.75,,,,
PNDCD,24hs,,,,,,119.0,,,,
PNDCD,48hs,119.5,0.84,119.5,119.5,119.5,118.5,1195.0,1000.0,1.0,2021-09-01 16:24:21
PNDCO,spot,,,,,,20570.0,,,,
PNDCO,24hs,,,,,,16650.0,,,,
PNDCO,48hs,,,,,,20500.0,,,,
PNECO,spot,,,,,,,,,,
PNECO,24hs,,,,,,,,,,
PNECO,48hs,,,,,,9980.0,,,,
PQC5O,spot,,,,,,6854.465,,,,
PQC5O,24hs,,,,,,7681.333,,,,
PQC5O,48hs,,,,,,9700.0,,,,
PQCAO,spot,,,,,,,,,,
PQCAO,24hs,,,,,,10100.0,,,,
PQCAO,48hs,,,,,,9965.0,,,,
PQCDD,spot,,,,,,105.75,,,,
