symbol,settlement,last,change,open,high,low,previous_close,turnover,volume,operations,datetime
BUM2D,24hs,,,,,,,,,,
BUM2D,48hs,,,,,,,,,,
BUO21,48hs,,,,,,103.85,,,,
C169A,48hs,,,,,,,,,,
C169B,48hs,,,,,,,,,,
CCO26,spot,61.35,3.63,61.35,61.35,61.35,59.2,69984.0,114073.0,1.0,2021-09-01 15:20:48
CCO26,24hs,,,,,,60.75,,,,
CCO26,48hs,,,,,,61.0,,,,
CEDI,spot,,,,,,6850.0,,,,
CEDI,24hs,,,,,,3594.0,,,,
CEDI,48hs,14000.0,-3.44,14000.0,14000.0,14000.0,14500.0,84000.0,600.0,1.0,2021-09-01 16:36:28
CO23,spot,,,,,,100.0,,,,
CO23,24hs,,,,,,99.0,,,,
CO23,48hs,,,,,,96.0,,,,
CO26,spot,10399.0,-1.89,10600.0,10600.0,10399.0,10600.0,12295558.0,118168.0,5.0,2021-09-01 15:22:55
CO26,24hs,,,,,,10600.0,,,,
CO26,48hs,10560.0,-0.28,10650.0,10715.0,10560.0,10590.0,26252270.0,246780.0,34.0,2021-09-01 17:00:26
CO26D,spot,,,,,,61.0,,,,
CO26D,24hs,,,,,,63.24,,,,
CO26D,48hs,62.0,0.32,61.5,62.0,61.5,61.8,8773.0,14170.0,4.0,2021-09-01 15:31:13
CU17A,spot,,,,,,,,,,
CU17A,24hs,,,,,,,,,,
CU17A,48hs,,,,,,,,,,
CU17B,spot,,,,,,,,,,
CU17B,24hs,,,,,,,,,,
CU17B,48hs,,,,,,,,,,
CU17C,spot,,,,,,,,,,
CU17C,24hs,,,,,,,,,,
CU17C,48hs,,,,,,,,,,
CUAP,spot,1430.0,,1430.0,1430.0,1430.0,1430.0,16416.0,1148.0,2.0,2021-09-01 16:00:29
CUAP,24hs,,,,,,656.191,,,,
CUAP,48hs,1430.0,,1430.0,1440.0,1430.0,1430.0,192447.0,13409.0,15.0,2021-09-01 16:56:19
DH01A,spot,,,,,,,,,,
DH01A,24hs,,,,,,,,,,
DH01A,48hs,,,,,,4000.695,,,,
DIA0,spot,,,,,,7800.0,,,,
DIA0,24hs,,,,,,7800.0,,,,
DIA0,48hs,,,,,,7800.0,,,,
DICP,spot,2520.0,-0.76,2540.0,2540.0,2520.0,2539.5,1022093.0,40379.0,6.0,2021-09-01 15:29:50
DICP,24hs,,,,,,2533.0,,,,
DICP,48hs,2530.0,-0.39,2530.0,2555.0,2520.0,2540.0,14928233.0,590180.0,63.0,2021-09-01 16:54:06
DIP0,spot,,,,,,2450.0,,,,
DIP0,24hs,,,,,,0.01,,,,
DIP0,48hs,2440.0,,2475.0,2475.0,2440.0,2440.0,46790.0,1900.0,3.0,2021-09-01 16:53:52
DT11A,48hs,,,,,,,,,,
GD29,spot,7290.0,1.36,7198.5,7300.0,7198.0,7192.0,811523.0,11231.0,11.0,2021-09-01 15:10:56
GD29,24hs,,,,,,6488.718,,,,
GD29,48hs,7300.5,1.11,7222.0,7399.0,7220.0,7220.0,6170404.0,84656.0,42.0,2021-09-01 16:38:10
GD29D,spot,42.1,0.83,42.1,42.1,42.1,41.75,506.0,1201.0,2.0,2021-09-01 14:54:50
GD29D,24hs,,,,,,40.653,,,,
GD29D,48hs,42.5,0.95,42.0,42.5,42.0,42.1,10574.0,24971.0,12.0,2021-09-01 16:24:22
GD30,spot,6985.0,1.15,6920.0,7040.5,6912.0,6905.0,1150285680.0,16487527.0,1965.0,2021-09-01 16:00:11
GD30,24hs,6991.0,1.02,6930.0,6991.0,6930.0,6920.0,2930128.0,42104.0,15.0,2021-09-01 16:34:05
GD30,48hs,6997.0,1.27,7000.0,7023.5,6925.0,6909.0,1296974255.0,18569945.0,1194.0,2021-09-01 17:00:24
GD30C,spot,39.9,1.01,39.5,40.5,39.5,39.5,224795.0,560858.0,73.0,2021-09-01 16:00:20
GD30C,24hs,,,,,,38.2,,,,
GD30C,48hs,39.5,0.25,39.5,39.5,39.5,39.4,19750.0,50000.0,1.0,2021-09-01 15:40:34
GD30D,spot,40.61,0.79,40.27,40.95,40.27,40.29,3881976.0,9547931.0,1069.0,2021-09-01 16:00:15
GD30D,24hs,,,,,,40.39,,,,
GD30D,48hs,40.68,0.89,40.27,40.85,40.27,40.32,1690870.0,4158821.0,406.0,2021-09-01 16:55:35
GD35,spot,6349.5,2.82,6170.0,6369.5,6170.0,6175.0,25286291.0,402339.0,59.0,2021-09-01 15:55:23
GD35,24hs,6099.0,2.41,6099.0,6099.0,6099.0,5955.0,124786.0,2046.0,1.0,2021-09-01 16:17:45
GD35,48hs,6339.0,2.73,6180.0,6360.0,6050.0,6170.0,242292728.0,3836029.0,564.0,2021-09-01 17:00:18
GD35C,spot,35.0,-0.56,35.0,35.0,35.0,35.2,360.0,1029.0,2.0,2021-09-01 12:49:58
GD35C,24hs,,,,,,33.0,,,,
GD35C,48hs,,,,,,34.0,,,,
GD35D,spot,36.5,1.95,36.5,36.79,36.5,35.8,16898.0,46273.0,13.0,2021-09-01 15:43:17
GD35D,24hs,,,,,,34.88,,,,
GD35D,48hs,36.7,1.38,36.69,36.75,36.45,36.2,244373.0,667712.0,87.0,2021-09-01 17:00:16
GD38,spot,7400.0,1.87,7400.0,7400.0,7400.0,7264.0,3330.0,45.0,1.0,2021-09-01 14:19:24
GD38,24hs,,,,,,7133.0,,,,
GD38,48hs,7425.0,1.57,7390.0,7500.0,7325.0,7310.0,14211183.0,191700.0,32.0,2021-09-01 17:00:19
GD38C,spot,,,,,,41.0,,,,
GD38C,24hs,,,,,,40.0,,,,
GD38C,48hs,,,,,,39.51,,,,
GD38D,spot,43.0,2.38,43.0,43.01,43.0,42.0,2505.0,5825.0,3.0,2021-09-01 15:00:45
GD38D,24hs,,,,,,41.75,,,,
GD38D,48hs,43.25,0.11,43.2,43.3,43.0,43.2,84118.0,194609.0,7.0,2021-09-01 16:49:57
GD41,spot,7045.0,1.0,7010.0,7045.0,7010.0,6975.0,701070.0,10001.0,2.0,2021-09-01 15:40:29
GD41,24hs,,,,,,6735.0,,,,
GD41,48hs,7080.0,0.56,7024.5,7100.0,7022.0,7040.0,51361019.0,727321.0,67.0,2021-09-01 16:46:59
GD41C,spot,,,,,,38.0,,,,
GD41C,24hs,,,,,,37.36,,,,
GD41C,48hs,,,,,,39.0,,,,
GD41D,spot,41.0,3.53,41.0,41.0,41.0,39.6,3895.0,9500.0,3.0,2021-09-01 14:03:46
GD41D,24hs,,,,,,39.68,,,,
GD41D,48hs,41.0,0.36,41.0,41.0,41.0,40.85,9914.0,24181.0,15.0,2021-09-01 16:18:45
GD46,spot,6220.0,0.32,6220.0,6220.0,6220.0,6200.0,170926.0,2748.0,2.0,2021-09-01 12:52:22
GD46,24hs,,,,,,,,,,
GD46,48hs,6220.0,0.64,6180.0,6337.0,6180.0,6180.0,2550706.0,40819.0,19.0,2021-09-01 16:38:45
GD46D,spot,36.55,0.13,36.55,36.55,36.55,36.5,1114.0,3048.0,1.0,2021-09-01 11:13:38
GD46D,24hs,,,,,,36.5,,,,
GD46D,48hs,36.5,-0.21,36.1,36.55,36.1,36.58,2267.0,6205.0,4.0,2021-09-01 17:00:16
LB3O1,48hs,,,,,,,,,,
LBD1C,48hs,,,,,,,,,,
LBD1D,48hs,,,,,,,,,,
LBD21,48hs,,,,,,,,,,
M248A,48hs,,,,,,,,,,
M248B,48hs,,,,,,,,,,
MY32C,spot,,,,,,84.246,,,,
MY32C,24hs,,,,,,46.866,,,,
MY32C,48hs,,,,,,,,,,
NDT25,spot,,,,,,8497.396,,,,
NDT25,48hs,11000.0,,11000.0,11000.0,11000.0,11000.0,35090.0,319.0,1.0,2021-09-01 12:24:35
NDT5D,24hs,,,,,,64.25,,,,
NDT5D,48hs,,,,,,66.5,,,,
NM05A,48hs,,,,,,99.71,,,,
PAP0,spot,,,,,,998.0,,,,
PAP0,24hs,,,,,,,,,,
PAP0,48hs,1007.0,-0.98,1007.0,1007.0,1007.0,1017.0,18126.0,1800.0,4.0,2021-09-01 15:30:07
PARP,spot,1024.5,1.33,1020.0,1024.5,1020.0,1011.0,63530.0,6223.0,3.0,2021-09-01 14:37:01
PARP,24hs,,,,,,845.0,,,,
PARP,48hs,1017.0,,1028.5,1029.0,1009.0,1017.0,15617773.0,1544993.0,54.0,2021-09-01 17:00:09
PBA25,spot,91.55,0.16,92.0,92.0,91.01,91.4,456456.0,499000.0,24.0,2021-09-01 16:00:04
PBA25,24hs,,,,,,91.5,,,,
PBA25,48hs,91.5,0.1,91.5,91.85,91.0,91.4,26590970.0,29014000.0,186.0,2021-09-01 17:00:05
PBY22,spot,,,,,,97.0,,,,
PBY22,24hs,,,,,,95.43,,,,
PBY22,48hs,97.15,0.16,97.0,98.0,96.0,96.99,72831788.0,74731000.0,156.0,2021-09-01 17:00:12
PM29D,spot,,,,,,,,,,
PM29D,48hs,,,,,,78.0,,,,
PMM29,spot,,,,,,,,,,
PMM29,24hs,,,,,,,,,,
PMM29,48hs,,,,,,13215.0,,,,
PR13,spot,721.5,0.2,732.2,732.2,721.5,720.0,21617.0,2982.0,2.0,2021-09-01 14:03:52
PR13,24hs,,,,,,715.731,,,,
PR13,48hs,722.8,-0.01,730.0,731.0,721.0,722.9,3932211.0,541692.0,75.0,2021-09-01 17:00:27
PR15,spot,73.05,-1.35,73.1,73.2,73.05,74.05,276518.0,378100.0,4.0,2021-09-01 15:16:41
PR15,24hs,,,,,,72.95,,,,
PR15,48hs,73.15,-0.06,73.0,73.69,73.0,73.2,3407053.0,4648570.0,46.0,2021-09-01 17:00:26
RN25C,spot,,,,,,61.5,,,,
RN25C,24hs,,,,,,62.0,,,,
RN25C,48hs,,,,,,86.108,,,,
RND25,spot,,,,,,10716.5,,,,
RND25,48hs,,,,,,10677.0,,,,
SFA23,spot,,,,,,,,,,
SFA23,24hs,,,,,,79.0,,,,
SFA23,48hs,,,,,,86.29,,,,
T2V1,spot,9474.0,-0.29,9500.0,9500.0,9460.0,9502.0,3815025.0,40221.0,13.0,2021-09-01 15:53:33
T2V1,24hs,,,,,,9525.0,,,,
T2V1,48hs,9482.0,-0.18,9510.0,9510.0,9403.0,9500.0,176905264.0,1864597.0,81.0,2021-09-01 17:00:11
T2V1D,spot,55.12,0.21,55.12,55.12,55.12,55.0,9001.0,16330.0,1.0,2021-09-01 15:50:53
T2V1D,24hs,,,,,,59.086,,,,
T2V1D,48hs,,,,,,54.23,,,,
T2V2,spot,10081.0,0.4,10081.0,10081.0,10081.0,10040.0,10081000.0,100000.0,1.0,2021-09-01 12:07:30
T2V2,24hs,,,,,,,,,,
T2V2,48hs,10100.0,0.49,10150.0,10150.0,10000.0,10050.0,103181207.0,1022341.0,34.0,2021-09-01 16:48:52
T2X2,spot,,,,,,158.5,,,,
T2X2,24hs,,,,,,152.9,,,,
T2X2,48hs,158.75,,158.5,159.0,158.5,158.75,4243651.0,2676929.0,13.0,2021-09-01 16:12:42
T2X2C,spot,,,,,,0.91,,,,
T2X2C,24hs,,,,,,0.84,,,,
T2X2C,48hs,,,,,,0.88,,,,
T2X2D,spot,,,,,,0.91,,,,
T2X2D,24hs,,,,,,0.94,,,,
T2X2D,48hs,,,,,,0.721,,,,
T2X3,spot,,,,,,142.75,,,,
T2X3,24hs,,,,,,,,,,
T2X3,48hs,142.75,-0.86,144.0,144.0,142.75,144.0,20156.0,13998.0,3.0,2021-09-01 16:15:09
T2X3C,spot,,,,,,0.81,,,,
T2X3C,24hs,,,,,,,,,,
T2X3C,48hs,,,,,,,,,,
T2X4,spot,,,,,,,,,,
T2X4,24hs,,,,,,101.213,,,,
T2X4,48hs,,,,,,109.0,,,,
TB23P,spot,,,,,,,,,,
TB23P,24hs,,,,,,,,,,
TB23P,48hs,,,,,,102.0,,,,
TC23,spot,,,,,,400.0,,,,
TC23,24hs,,,,,,374.15,,,,
TC23,48hs,398.0,0.25,400.0,410.0,397.0,397.0,4019307.0,1008519.0,28.0,2021-09-01 16:38:32
TC25P,spot,,,,,,351.0,,,,
TC25P,24hs,,,,,,278.613,,,,
TC25P,48hs,357.0,0.56,357.0,357.0,357.0,355.0,48195.0,13500.0,3.0,2021-09-01 16:27:52
TO21,spot,105.7,0.23,105.5,105.7,105.45,105.45,1580078.0,1497686.0,4.0,2021-09-01 15:32:03
TO21,24hs,,,,,,101.6,,,,
TO21,48hs,105.7,0.18,105.2,105.8,105.2,105.5,10962173.0,10368019.0,26.0,2021-09-01 16:45:50
TO23,spot,,,,,,67.7,,,,
TO23,24hs,,,,,,67.0,,,,
TO23,48hs,67.75,0.07,67.7,67.9,67.3,67.7,17206880.0,25467295.0,55.0,2021-09-01 16:33:38
TO26,spot,,,,,,47.0,,,,
TO26,24hs,,,,,,39.84,,,,
TO26,48hs,46.8,,46.8,46.8,46.7,46.8,1017612.0,2174412.0,26.0,2021-09-01 16:29:37
TT29A,spot,,,,,,,,,,
TT29A,24hs,,,,,,,,,,
TT29A,48hs,,,,,,,,,,
TT29B,spot,,,,,,,,,,
TT29B,24hs,,,,,,,,,,
TT29B,48hs,,,,,,,,,,
TV22,spot,9805.0,0.13,9790.0,9805.0,9790.0,9791.5,7842372.0,80000.0,7.0,2021-09-01 13:51:40
TV22,24hs,,,,,,9855.0,,,,
TV22,48hs,9815.0,0.15,9850.0,9850.0,9750.0,9800.0,187947543.0,1917126.0,106.0,2021-09-01 17:00:24
TVPA,spot,,,,,,72.5,,,,
TVPA,24hs,,,,,,58.2,,,,
TVPA,48hs,76.95,-1.21,76.95,76.95,76.95,77.9,6699.0,8706.0,1.0,2021-09-01 16:04:37
TVPE,spot,,,,,,135.0,,,,
